"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_nmp_100ml";"colif_fecales_nmp_100ml";"escher_coli_nmp_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"12/11/2014";"2014";"primavera";"25";"5.82";"7.58";"400";"400";"< 300";"4.69";"0.77";"30";"57";"Muy deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"12/11/2014";"2014";"primavera";"24";"3.96";"7.57";"24000";"9300";"9300";"7.08";"0.42";"52";"42";"Extremadamente detriorada"
"11";"Espigón La Farola";"San Isidro";"SI021";"12/11/2014";"2014";"primavera";"24.3";"8.03";"7.41";"9300";"2300";"900";"6.68";"0.32";"34";"61";"Muy deteriorada"
"12";"Reserva Ecológica";"San Isidro";"SI022";"12/11/2014";"2014";"primavera";"24.2";"5.55";"7.78";"9300";"9300";"900";"7.61";"0.29";"31";"42";"Extremadamente detriorada"
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"12/11/2014";"2014";"primavera";"24.7";"7.26";"8.15";"46000";"46000";"300";"8.11";"0.22";"30";"42";"Extremadamente detriorada"
"14";"Perú Puente";"San Isidro";"SI023";"12/11/2014";"2014";"primavera";"24";"2.79";"7.83";"24000";"24000";"300";"16.6";"0.99";"23";"31";"Extremadamente detriorada"
"15";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"12/11/2014";"2014";"primavera";"24.4";"6.7";"7.59";"";"";"";"7.94";"0.63";"38";"83";"Deteriorada"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"12/11/2014";"2014";"primavera";"24.4";"4.4";"7.32";"46000";"46000";"< 300";"8.08";"0.64";"37";"30";"Extremadamente detriorada"
"17";"Costa y Melo";"Vicente López";"VL031";"12/11/2014";"2014";"primavera";"24.1";"4.6";"7.34";"> 110000";"2800";"< 300";"7.97";"0.62";"33";"43";"Extremadamente detriorada"
"18";"Parque de los Niños";"CABA";"CA041";"12/11/2014";"2014";"primavera";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
