"orden";"sitios";"gobierno_local";"codigo";"fecha";"año";"campaña";"tem_agua";"od";"ph";"colif_totales_ufc_100ml";"colif_fecales_ufc_100ml";"escher_coli_ufc_100ml";"nitrato_mg_l";"nh4_mg_l";"dqo_mg_l";"ica";"clase_ica"
"8";"Río Capitán y Río San Antonio";"Tigre";"TI008";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"135000";"8000";"5200";"2.7";"0.476";"37";"31";"Extremadamente deteriorada"
"9";"Arroyo Abra Vieja y Santa Rosa";"Tigre";"TI009";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"13000";"5200";"2100";"3.5";"0.27";"23";"33";"Extremadamente deteriorada"
"10";"Del Arca";"San Fernando";"SF015";"15/9/2016";"2016";"invierno";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó";"no se muestreó"
"11";"Espigón La Farola";"San Isidro";"SI021";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"31000";"2000";"1200";"4.9";"0.63";"37";"22";"Extremadamente deteriorada"
"12";"Reserva Ecológica";"San Isidro";"SI022";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"19000";"2600";"800";"5.8";"0.231";"20";"36";"Extremadamente deteriorada"
"13";"Playa Espigón de Pacheco";"San Isidro";"SI024";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"54000";"10600";"3700";"8.9";"0.283";"37";"31";"Extremadamente deteriorada"
"14";"Perú Puente";"San Isidro";"SI023";"15/9/2016";"2016";"invierno";"no se midió";"no se midió";"no se midió";"360000";"124000";"30000";"43";"1.144";"34";"16";"Extremadamente deteriorada"
"15";"Reserva Barrio El Ceibo";"Vicente López";"VL033";"15/9/2016";"2016";"invierno";"15.3";"7";"7.68";"190000";"36200";"9400";"6.6";"0.386";"23";"39";"Extremadamente deteriorada"
"16";"Puerto de Olivos Espigón";"Vicente López";"VL032";"15/9/2016";"2016";"invierno";"15";"6.1";"7.73";"156000";"32800";"15000";"5.8";"0.553";"28";"33";"Extremadamente deteriorada"
"17";"Costa y Melo";"Vicente López";"VL031";"15/9/2016";"2016";"invierno";"15.6";"7.4";"7.87";"92000";"20800";"3600";"4.2";"0.334";"56";"40";"Extremadamente deteriorada"
"18";"Parque de los Niños";"CABA";"CA041";"14/9/2016";"2016";"invierno";"16.8";"7.37";"6.73";"250000";"23000";"23000";"5";"<0.13";"258";"39";"Extremadamente deteriorada"
"19";"Costanera Norte - Espigón Abanico";"CABA";"CA044";"14/9/2016";"2016";"invierno";"16.9";"7.81";"6.11";"270000";"33000";"30000";"9";"<0.13";"270";"33";"Extremadamente deteriorada"
