orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
25,arroyo saranda,av052,26/3/2014,2014,verano,22.7,,3.82,7.28,,,,,110000,400.0,,5.7,1.9,,,,,,,,,,,30.0,extremadamente deteriorada
26,costa de villa domanico,av055,26/3/2014,2014,verano,21.9,,4.2,7.18,,,,,400,300.0,,30,1.01,,,,,,,,,,,56.0,muy deteriorada
27,arroyo santo domingo,av053,26/3/2014,2014,verano,22.1,,4.12,7.3,,,,,9300,300.0,,8.3,0.91,,,,,,,,,,,35.0,extremadamente deteriorada
28,espora 400 m,qu061,26/3/2014,2014,verano,15.6,,6.78,5.84,,,,,400,400.0,,19.2,0.47,,,,,,,,,,,84.0,levemente deteriorada
29,nautico 400 m,qu062,26/3/2014,2014,verano,15.6,,6.78,5.86,,,,,400,400.0,,8.6,0.45,,,,,,,,,,,84.0,levemente deteriorada
30,pejerrey club 400 m,qu063,26/3/2014,2014,verano,15.5,,6.82,5.87,,,,,900,300.0,,10.8,0.61,,,,,,,,,,,65.0,deteriorada
31,calle 14 y costa - salida cloaca,bz078,26/3/2014,2014,verano,20.7,,11.3,,,,,,2300,900.0,,7.6,0.6,,,,,,,,,,,37.0,extremadamente deteriorada
32,puerto trinidad calle 47,bz077,26/3/2014,2014,verano,21.1,,8.7,,,,,,<300,300.0,,9.7,0.53,,,,,,,,,,,51.0,muy deteriorada
33,costanera hudson calle 63,bz080,26/3/2014,2014,verano,21.9,,9.1,,,,,,900,300.0,,10.3,0.13,,,,,,,,,,,59.0,muy deteriorada
34,camping eva pera3n,en081,26/3/2014,2014,verano,20.6,,9.15,8.32,,,,,<300,300.0,,11.8,1.23,,,,,,,,,,,57.0,muy deteriorada
35,toma de agua club de pesca,en082,26/3/2014,2014,verano,21.2,,6.63,7.79,,,,,<300,300.0,,11.4,1.25,,,,,,,,,,,69.0,deteriorada
36,arroyo el gato,en083,26/3/2014,2014,verano,21.6,,0.51,7.74,,,,,9300,300.0,,<0.2,12.14,,,,,,,,,,,33.0,extremadamente deteriorada
37,ensenada prefectura isla santiago,en084,26/3/2014,2014,verano,20.7,,7.16,7.86,,,,,<300,300.0,,13.8,0.2,,,,,,,,,,,86.0,levemente deteriorada
38,diagonal 66 (descarga cloaca),bs095,26/3/2014,2014,verano,21.6,,5.73,7.7,,,,,<300,300.0,,3.8,9.43,,,,,,,,,,,40.0,extremadamente deteriorada
