orden;sitios;codigo;fecha;A�o;Campa�a;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
39;Playa La Balandra;BS093;15/9/2016;2016;invierno;12.1;;10.49;7.78;;;;;1400;200;;7.1;<0.064;;;;43;;;;;;;60;Muy deteriorada
1;Canal Villa Nueva y Río Luján;TI001;30/11/2016;2016;primavera;;;;;;;;;6300;1900;;2.22;1.17;;;;17;;;;;;;18;Extremadamente deteriorada
2;Río Lujan y Arroyo Caraguatá;TI006;30/11/2016;2016;primavera;;;;;;;;;6000;200;;2.66;0.1;;;;10;;;;;;;34;Extremadamente deteriorada
3;Canal Aliviador y Río Lujan;TI002;30/11/2016;2016;primavera;;;;;;;;;2100;2100;;2.22;4;;;;21;;;;;;;20;Extremadamente deteriorada
4;Río Carapachay y Arroyo Gallo Fiambre;TI003;30/11/2016;2016;primavera;;;;;;;;;8000;3000;;3.1;1.2;;;;21;;;;;;;18;Extremadamente deteriorada
5;Río Reconquista y Río Lujan;TI004;30/11/2016;2016;primavera;;;;;;;;;4000;3700;;2.66;0.6;;;;13;;;;;;;19;Extremadamente deteriorada
6;Rio Tigre 100m antes del Rio Luján;TI005;30/11/2016;2016;primavera;;;;;;;;;42000;12700;;1.77;6;;;;63;;;;;;;16;Extremadamente deteriorada
7;Río Lujan y Canal San Fernando;TI007;30/11/2016;2016;primavera;;;;;;;;;1800;1400;;2.66;3.2;;;;17;;;;;;;21;Extremadamente deteriorada
8;Río Capitán y Río San Antonio;TI008;30/11/2016;2016;primavera;;;;;;;;;2500;2000;;2.22;1.1;;;;25;;;;;;;20;Extremadamente deteriorada
9;Arroyo Abra Vieja y Santa Rosa;TI009;30/11/2016;2016;primavera;;;;;;;;;1400;1300;;2.66;1.3;;;;33;;;;;;;22;Extremadamente deteriorada
10;Del Arca;SF015;30/11/2016;2016;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
11;Espigón La Farola;SI021;30/11/2016;2016;primavera;25.9;;4.95;7.06;;;;;8000;1300;;3.1;0.9;;;;17;;;;;;;24;Extremadamente deteriorada
12;Reserva Ecológica;SI022;30/11/2016;2016;primavera;27.3;;5.07;7.45;;;;;5000;700;;5.76;1;;;;42;;;;;;;40;Extremadamente deteriorada
13;Playa Espigón de Pacheco;SI024;30/11/2016;2016;primavera;29.9;;7.03;8.09;;;;;40000;1700;;11.96;0.1;;;;17;;;;;;;39;Extremadamente deteriorada
