orden;sitios;codigo;fecha;A駉;Campa馻;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
18;Parque de los Ni帽os;CA041;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
19;Costanera Norte - Espig贸n Abanico;CA044;9/12/2015;2015;primavera;26.5;;6.12;7.73;;;;;6000;;;2;;;;5;294;;;;;;;;
20;Club de Pescadores;CA046;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
21;Reserva Ecol贸gica Costanera Sur - Playita;CA047;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
22;Escollera de Propaneros;AV054;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
23;Polo Petroqu铆mico Dock Sud;AV051;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
24;Arroyo Sarand铆;AV052;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
25;Costa de Villa Dom铆nico;AV055;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
26;Arroyo Santo Domingo;AV053;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
27;Espora 400 m;QU061;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
28;N谩utico 400 m;QU062;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
29;Pejerrey Club 400 m;QU063;29/12/2015;2015;primavera;;;;;;;;;;;;1;;;;;;;;;;;;;
30;Calle 14 y Costa - Salida cloaca;BZ078;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
31;Puerto Trinidad calle 47;BZ077;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
32;Costanera Hudson Calle 63;BZ080;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
33;Camping Eva Per贸n;EN081;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
34;Toma de agua Club de Pesca;EN082;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
35;Arroyo El Gato;EN083;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
36;Ensenada Prefectura Isla Santiago;EN084;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
37;Diagonal 66 (descarga cloaca);BS095;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
38;Playa Municipal;BS094;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
39;Playa La Balandra;BS093;No se muestre贸;2015;primavera;;;;;;;;;;;;;;;;;;;;;;;;;
