orden;sitios;codigo;fecha;Año;Campaña;tem_agua;tem_aire;od;ph;olores;color;espumas;mat_susp;colif_fecales_ufc_100ml;escher_coli_ufc_100ml;enteroc_ufc_100ml;nitrato_mg_l;nh4_mg_l;p_total_l_mg_l;fosf_ortofos_mg_l;dbo_mg_l;dqo_mg_l;turbiedad_ntu;hidr_deriv_petr_ug_l;cr_total_mg_l;cd_total_mg_l;clorofila_a_ug_l;microcistina_ug_l;ica;calidad_de_agua
23;Polo Petroquímico Dock Sud;AV051;15/8/2018;2018;invierno;14;;7.26;6.6;ausencia;ausencia;ausencia;ausencia;100;100;30;5.4;1.53;0.45;0.45;8;33;38;110;0.005;0.001;<10;<0.50;68;Deteriorada
24;Arroyo Sarandí;AV052;15/8/2018;2018;invierno;14.2;;6.06;6.6;presencia;ausencia;ausencia;ausencia;100;100;40;7.4;1.8;0.37;0.37;8;20;32;105;0.005;0.001;<10;<0.50;65;Muy deteriorada
25;Costa de Villa Domínico     ;AV055;15/8/2018;2018;invierno;14;;6.68;6.8;ausencia;ausencia;ausencia;ausencia;200;99;30;5.8;1.66;0.31;0.63;8;39;31;126;0.005;0.001;<10;<0.50;61;Muy deteriorada
26;Arroyo Santo Domingo;AV053;15/8/2018;2018;invierno;13.9;;5.58;6.8;ausencia;ausencia;presencia;ausencia;1000;100;40;9;1.33;0.22;0.22;14;17;31;347;0.005;0.001;<10;<0.50;60;Muy deteriorada
27;Espora 400 m;QU061;15/8/2018;2018;invierno;14.4;;6.19;7.09;ausencia;ausencia;presencia;presencia;300;300;30;7.2;1.28;0.57;0.57;8;63;31;109;0.005;0.001;<10;<0.50;57;Muy deteriorada
28;Náutico 400 m;QU062;15/8/2018;2018;invierno;14.2;;6.4;6.32;ausencia;ausencia;presencia;presencia;300;300;30;9.1;1.9;0.42;0.42;12;95;21;77;0.005;0.001;<10;<0.50;54;Extremadamente deteriorada
29;Pejerrey Club 400 m;QU063;15/8/2018;2018;invierno;14.3;;6.43;6.77;ausencia;ausencia;presencia;presencia;4400;3600;1250;8;2.5;0.55;0.55;8;12;35;50;0.005;0.001;<10;<0.50;44;Extremadamente deteriorada
30;Calle 14 y Costa - Salida cloaca;BZ078;15/8/2018;2018;invierno;11.2;;9.68;8.46;ausencia;ausencia;ausencia;presencia;2200;1900;1600;10.8;3.4;0.36;0.36;18;41;30;430;0.005;0.001;37.4;<0.50;40;
31;Puerto Trinidad calle 47;BZ077;15/8/2018;2018;invierno;;;;;;;;;;;;;;;;;;;;;;;;;Muy deteriorada
32;Costanera Hudson Calle 63;BZ080;15/8/2018;2018;invierno;12.7;;12.46;8.9;ausencia;ausencia;ausencia;ausencia;200;99;400;7.7;0.06;0.55;0.55;20;36;39;67;0.005;0.001;79.6;<0.50;49;Muy deteriorada
33;Camping Eva Perón;EN081;15/8/2018;2018;invierno;12.9;;13.06;8.94;ausencia;ausencia;ausencia;ausencia;99;99;90;10.7;0.32;0.4;0.4;4;49;43;380;0.005;0.001;74.7;<0.50;61;Muy deteriorada
34;Toma de agua Club de Pesca;EN082;15/8/2018;2018;invierno;12.8;;11.61;8.6;ausencia;ausencia;ausencia;ausencia;100;50;10;10.7;0.6;0.32;1.45;12;41;29;110;0.005;0.001;67.8;<0.50;49;Extremadamente deteriorada
35;Arroyo El Gato;EN083;15/8/2018;2018;invierno;13.3;;4.71;7.39;ausencia;ausencia;ausencia;ausencia;7800;5700;1400;10.1;2.46;0.32;1.64;12;17;35;507;0.005;0.001;<10;<0.50;37;Deteriorada
36;Ensenada Prefectura Isla Santiago;EN084;15/8/2018;2018;invierno;12.4;;9.76;8.05;ausencia;ausencia;ausencia;ausencia;200;100;50;6.3;1.37;0.17;0.17;4;20;29;162;0.005;0.001;12.3;<0.50;70;Extremadamente deteriorada
37;Balneario Palo Blanco;BS092;15/8/2018;2018;invierno;;;5;8.09;ausencia;ausencia;ausencia;ausencia;17000;9000;1000;5.1;1.79;0.41;0.41;16;20;21;330;0.005;0.001;<10;<0.50;38;Extremadamente deteriorada
38;Diagonal 66 (descarga cloaca);BS095;15/8/2018;2018;invierno;10;;5;;presencia;presencia;ausencia;presencia;60000;53500;8400;6.7;2.78;0.4;0.40;12;44;54;103;0.005;0.001;10.7;<0.50;27;Extremadamente deteriorada
39;Playa La Bagliardi;BS091;15/8/2018;2018;invierno;11;;8.9;7.4;ausencia;ausencia ;presencia;presencia;40000;12800;4600;6.7;5.17;0.9;0.9';14;58;45;87;0.005;0.001;<10;<0.50;33;Muy deteriorada
40;Balneario Municipal;BS094;15/8/2018;2018;invierno;10.5;;10.5;8.9;ausencia;ausencia;ausencia;ausencia;400;200;40;4.7;0.04;0.31;0.37;16;60;63;53;0.005;0.001;<10;<0.50;59;Extremadamente deteriorada
